mpg,cyl,displ,hp,weight,accel,yr,origin,color,size
18.0,6,250.0,88,3139,14.5,71,US,red,27.370336
9.0,8,304.0,193,4732,18.5,70,US,green,62.199511
36.1,4,91.0,60,1800,16.4,78,Asia,blue,9.000000
18.5,6,250.0,98,3525,19.0,77,US,red,34.515625
34.3,4,97.0,78,2188,15.8,80,Europe,blue,13.298178
32.9,4,119.0,100,2615,14.8,81,Asia,blue,18.995069
32.2,4,108.0,75,2265,15.2,80,Asia,blue,14.250625
22.0,4,121.0,76,2511,18.0,72,Europe,blue,17.514225
15.0,8,302.0,130,4295,14.9,77,US,green,51.241736
17.0,8,302.0,140,3449,10.5,70,US,green,33.043336
44.0,4,97.0,52,2130,24.6,82,Europe,blue,12.602500
24.5,4,151.0,88,2740,16.0,77,US,blue,20.854444
32.0,4,135.0,84,2295,11.6,82,US,blue,14.630625
14.0,8,351.0,148,4657,13.5,75,US,green,60.243469
15.0,8,400.0,150,3761,9.5,70,US,green,39.292003
13.0,8,307.0,130,4098,14.0,72,US,green,46.648900
36.0,4,79.0,58,1825,18.6,77,Europe,blue,9.251736
31.0,4,119.0,82,2720,19.4,82,US,blue,20.551111
32.0,4,71.0,65,1836,21.0,74,Asia,blue,9.363600
21.5,3,80.0,110,2720,13.5,77,Asia,black,20.551111
19.0,6,225.0,95,3264,16.0,75,US,red,29.593600
17.0,6,231.0,110,3907,21.0,75,US,red,42.401803
16.0,8,302.0,140,4141,14.0,74,US,green,47.633003
15.0,8,383.0,170,3563,10.0,70,US,green,35.263803
23.0,4,140.0,78,2592,18.5,75,US,blue,18.662400
26.0,4,98.0,90,2265,15.5,73,Europe,blue,14.250625
32.0,4,144.0,96,2665,13.9,82,Asia,blue,19.728403
24.0,4,113.0,95,2372,15.0,70,Asia,blue,15.628844
21.0,6,231.0,110,3039,15.0,75,US,red,25.654225
31.3,4,120.0,75,2542,17.5,80,Asia,blue,17.949344
32.7,6,168.0,132,2910,11.4,80,Asia,red,23.522500
15.0,8,304.0,150,3892,12.5,72,US,green,42.076844
23.0,4,140.0,83,2639,17.0,75,US,blue,19.345336
17.6,6,225.0,85,3465,16.6,81,US,red,33.350625
28.0,4,107.0,86,2464,15.5,76,Europe,blue,16.864711
24.0,4,116.0,75,2158,15.5,73,Europe,blue,12.936011
14.0,8,302.0,140,4638,16.0,74,US,green,59.752900
18.1,8,302.0,139,3205,11.2,78,US,green,28.533403
36.0,4,98.0,70,2125,17.3,82,US,blue,12.543403
29.0,4,85.0,52,2035,22.2,76,US,blue,11.503403
35.1,4,81.0,60,1760,16.1,81,Asia,blue,8.604444
36.0,4,135.0,84,2370,13.0,82,US,blue,15.602500
16.5,8,351.0,138,3955,13.2,79,US,green,43.450069
