population,fertility,HIV,CO2,BMI_male,GDP,BMI_female,life,child_mortality
3.481106e+07,2.73,0.10,3.328945,24.59620,12314.0,129.9049,75.3,29.5
1.984225e+07,6.43,2.00,1.474353,22.25083,7103.0,130.1247,58.3,192.0
4.038186e+07,2.24,0.50,4.785170,27.50170,14646.0,118.8915,75.5,15.4
2.975029e+06,1.40,0.10,1.804106,25.35542,7383.0,132.8108,72.5,20.0
2.137035e+07,1.96,0.10,18.016313,27.56373,41312.0,117.3755,81.5,5.2
8.331465e+06,1.41,0.30,8.183160,26.46741,43952.0,124.1394,80.4,4.6
8.868713e+06,1.99,0.10,5.109538,25.65117,14365.0,128.6024,70.6,43.3
3.485870e+05,1.89,3.10,3.131921,27.24594,24373.0,124.3862,72.2,14.5
1.482525e+08,2.38,0.06,0.319161,20.39742,2265.0,125.0307,68.4,55.9
2.773150e+05,1.83,1.30,6.008279,26.38439,16075.0,126.3940,75.3,15.4
9.526453e+06,1.42,0.20,6.488174,26.16443,14488.0,129.7968,70.1,7.2
1.077916e+07,1.82,0.20,9.797337,26.75915,41641.0,121.8227,79.4,4.7
3.061650e+05,2.91,2.40,1.360126,27.02255,8293.0,120.9224,70.7,20.1
8.973525e+06,5.27,1.20,0.537539,22.41835,1646.0,130.2723,63.2,116.3
6.949900e+05,2.51,0.20,0.601210,22.82180,5663.0,125.1258,67.6,48.1
9.599916e+06,3.48,0.20,1.431829,24.43335,5066.0,122.4155,70.9,52.0
1.967866e+06,2.86,24.90,2.547205,22.12984,13858.0,133.1307,61.2,63.8
1.947697e+08,1.90,0.45,2.023773,25.78623,13906.0,124.8745,73.9,18.6
7.513646e+06,1.43,0.10,6.690139,26.54286,15368.0,128.4721,73.2,13.7
1.470901e+07,6.04,1.20,0.109419,21.27157,1358.0,130.6651,59.4,130.4
8.821795e+06,6.48,3.50,0.031389,21.50291,723.0,134.1955,57.4,108.6
1.393366e+07,3.05,0.60,0.287547,20.80496,2442.0,117.5528,66.2,51.5
1.957042e+07,5.17,5.30,0.295542,23.68173,2571.0,127.2823,56.6,113.8
3.336326e+07,1.68,0.20,16.350399,27.45210,41468.0,118.0571,80.7,5.8
1.113974e+07,6.81,3.40,0.047839,21.48569,1753.0,127.8640,54.8,168.0
1.664594e+07,1.89,0.40,4.240259,27.01542,18698.0,125.5417,78.9,8.9
4.490166e+07,2.43,0.50,1.476092,24.94041,10489.0,124.0235,75.1,19.7
6.654140e+05,5.05,0.06,0.178853,22.06131,1440.0,132.1354,62.6,91.2
3.832771e+06,5.10,3.50,0.384220,21.87134,5022.0,131.6935,58.6,72.6
4.429506e+06,1.91,0.30,1.911933,26.47897,12219.0,121.3500,79.7,10.3
1.926165e+07,4.91,3.70,0.361897,22.56469,2854.0,131.5237,55.9,116.9
4.344151e+06,1.43,0.06,5.287903,26.59629,21873.0,130.3921,76.5,5.9
1.129024e+07,1.50,0.10,2.701777,25.06867,17765.0,126.0594,77.8,6.3
5.495302e+06,1.89,0.20,8.541508,26.13287,45017.0,119.5815,78.7,4.3
8.096390e+05,3.76,2.60,0.612800,23.38403,2502.0,129.3376,61.0,81.0
1.444760e+07,2.73,0.40,2.110518,25.58841,9244.0,122.9864,74.0,26.8
7.897612e+07,2.95,0.06,2.512394,26.73243,9974.0,125.0931,70.1,31.4
6.004199e+06,2.32,0.80,1.067765,26.36751,7450.0,119.9321,74.1,21.6
6.862230e+05,5.31,4.70,6.798253,23.76640,40143.0,132.0392,56.7,118.4
