fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,7.00,0.270,0.36,20.70,0.045,45.0,170.0,1.001000,3.00,0.45,8.800000,6
1,6.30,0.300,0.34,1.60,0.049,14.0,132.0,0.994000,3.30,0.49,9.500000,6
2,8.10,0.280,0.40,6.90,0.050,30.0,97.0,0.995100,3.26,0.44,10.100000,6
3,7.20,0.230,0.32,8.50,0.058,47.0,186.0,0.995600,3.19,0.40,9.900000,6
4,7.20,0.230,0.32,8.50,0.058,47.0,186.0,0.995600,3.19,0.40,9.900000,6
5,8.10,0.280,0.40,6.90,0.050,30.0,97.0,0.995100,3.26,0.44,10.100000,6
6,6.20,0.320,0.16,7.00,0.045,30.0,136.0,0.994900,3.18,0.47,9.600000,6
7,7.00,0.270,0.36,20.70,0.045,45.0,170.0,1.001000,3.00,0.45,8.800000,6
8,6.30,0.300,0.34,1.60,0.049,14.0,132.0,0.994000,3.30,0.49,9.500000,6
9,8.10,0.220,0.43,1.50,0.044,28.0,129.0,0.993800,3.22,0.45,11.000000,6
10,8.10,0.270,0.41,1.45,0.033,11.0,63.0,0.990800,2.99,0.56,12.000000,5
11,8.60,0.230,0.40,4.20,0.035,17.0,109.0,0.994700,3.14,0.53,9.700000,5
12,7.90,0.180,0.37,1.20,0.040,16.0,75.0,0.992000,3.18,0.63,10.800000,5
13,6.60,0.160,0.40,1.50,0.044,48.0,143.0,0.991200,3.54,0.52,12.400000,7
14,8.30,0.420,0.62,19.25,0.040,41.0,172.0,1.000200,2.98,0.67,9.700000,5
15,6.60,0.170,0.38,1.50,0.032,28.0,112.0,0.991400,3.25,0.55,11.400000,7
16,6.30,0.480,0.04,1.10,0.046,30.0,99.0,0.992800,3.24,0.36,9.600000,6
17,6.20,0.660,0.48,1.20,0.029,29.0,75.0,0.989200,3.33,0.39,12.800000,8
18,7.40,0.340,0.42,1.10,0.033,17.0,171.0,0.991700,3.12,0.53,11.300000,6
19,6.50,0.310,0.14,7.50,0.044,34.0,133.0,0.995500,3.22,0.50,9.500000,5
20,6.20,0.660,0.48,1.20,0.029,29.0,75.0,0.989200,3.33,0.39,12.800000,8
21,6.40,0.310,0.38,2.90,0.038,19.0,102.0,0.991200,3.17,0.35,11.000000,7
22,6.80,0.260,0.42,1.70,0.049,41.0,122.0,0.993000,3.47,0.48,10.500000,8
23,7.60,0.670,0.14,1.50,0.074,25.0,168.0,0.993700,3.05,0.51,9.300000,5
24,6.60,0.270,0.41,1.30,0.052,16.0,142.0,0.995100,3.42,0.47,10.000000,6
25,7.00,0.250,0.32,9.00,0.046,56.0,245.0,0.995500,3.25,0.50,10.400000,6
26,6.90,0.240,0.35,1.00,0.052,35.0,146.0,0.993000,3.45,0.44,10.000000,6
27,7.00,0.280,0.39,8.70,0.051,32.0,141.0,0.996100,3.38,0.53,10.500000,6
28,7.40,0.270,0.48,1.10,0.047,17.0,132.0,0.991400,3.19,0.49,11.600000,6
29,7.20,0.320,0.36,2.00,0.033,37.0,114.0,0.990600,3.10,0.71,12.300000,7
30,8.50,0.240,0.39,10.40,0.044,20.0,142.0,0.997400,3.20,0.53,10.000000,6
31,8.30,0.140,0.34,1.10,0.042,7.0,47.0,0.993400,3.47,0.40,10.200000,6
32,7.40,0.250,0.36,2.05,0.050,31.0,100.0,0.992000,3.19,0.44,10.800000,6
33,6.20,0.120,0.34,1.50,0.045,43.0,117.0,0.993900,3.42,0.51,9.000000,6
34,5.80,0.270,0.20,14.95,0.044,22.0,179.0,0.996200,3.37,0.37,10.200000,5
35,7.30,0.280,0.43,1.70,0.080,21.0,123.0,0.990500,3.19,0.42,12.800000,5
36,6.50,0.390,0.23,5.40,0.051,25.0,149.0,0.993400,3.24,0.35,10.000000,5
37,7.00,0.330,0.32,1.20,0.053,38.0,138.0,0.990600,3.13,0.28,11.200000,6
38,7.30,0.240,0.39,17.95,0.057,45.0,149.0,0.999900,3.21,0.36,8.600000,5
39,7.30,0.240,0.39,17.95,0.057,45.0,149.0,0.999900,3.21,0.36,8.600000,5
40,6.70,0.230,0.39,2.50,0.172,63.0,158.0,0.993700,3.11,0.36,9.400000,6
41,6.70,0.240,0.39,2.90,0.173,63.0,157.0,0.993700,3.10,0.34,9.400000,6
42,7.00,0.310,0.26,7.40,0.069,28.0,160.0,0.995400,3.13,0.46,9.800000,6
43,6.60,0.240,0.27,1.40,0.057,33.0,152.0,0.993400,3.22,0.56,9.500000,6
44,6.70,0.230,0.26,1.40,0.060,33.0,154.0,0.993400,3.24,0.56,9.500000,6
45,7.40,0.180,0.31,1.40,0.058,38.0,167.0,0.993100,3.16,0.53,10.000000,7
46,6.20,0.450,0.26,4.40,0.063,63.0,206.0,0.994000,3.27,0.52,9.800000,4
47,6.20,0.460,0.25,4.40,0.066,62.0,207.0,0.993900,3.25,0.52,9.800000,5
48,7.00,0.310,0.26,7.40,0.069,28.0,160.0,0.995400,3.13,0.46,9.800000,6
49,6.90,0.190,0.35,5.00,0.067,32.0,150.0,0.995000,3.36,0.48,9.800000,5
50,7.20,0.190,0.31,1.60,0.062,31.0,173.0,0.991700,3.35,0.44,11.700000,6
51,6.60,0.250,0.29,1.10,0.068,39.0,124.0,0.991400,3.34,0.58,11.000000,7
52,6.20,0.160,0.33,1.10,0.057,21.0,82.0,0.991000,3.32,0.46,10.900000,7
53,6.40,0.180,0.35,1.00,0.045,39.0,108.0,0.991100,3.31,0.35,10.900000,6
54,6.80,0.200,0.59,0.90,0.147,38.0,132.0,0.993000,3.05,0.38,9.100000,6
55,6.90,0.250,0.35,1.30,0.039,29.0,191.0,0.990800,3.13,0.52,11.000000,6
56,7.20,0.210,0.34,11.90,0.043,37.0,213.0,0.996200,3.09,0.50,9.600000,6
57,6.00,0.190,0.26,12.40,0.048,50.0,147.0,0.997200,3.30,0.36,8.900000,6
58,6.60,0.380,0.15,4.60,0.044,25.0,78.0,0.993100,3.11,0.38,10.200000,6
59,7.40,0.200,0.36,1.20,0.038,44.0,111.0,0.992600,3.36,0.34,9.900000,6
60,6.80,0.220,0.24,4.90,0.092,30.0,123.0,0.995100,3.03,0.46,8.600000,6
61,6.00,0.190,0.26,12.40,0.048,50.0,147.0,0.997200,3.30,0.36,8.900000,6
62,7.00,0.470,0.07,1.10,0.035,17.0,151.0,0.991000,3.02,0.34,10.500000,5
63,6.60,0.380,0.15,4.60,0.044,25.0,78.0,0.993100,3.11,0.38,10.200000,6
64,7.20,0.240,0.27,1.40,0.038,31.0,122.0,0.992700,3.15,0.46,10.300000,6
65,6.20,0.350,0.03,1.20,0.064,29.0,120.0,0.993400,3.22,0.54,9.100000,5
66,6.40,0.260,0.24,6.40,0.040,27.0,124.0,0.990300,3.22,0.49,12.600000,7
67,6.70,0.250,0.13,1.20,0.041,81.0,174.0,0.992000,3.14,0.42,9.800000,5
68,6.70,0.230,0.31,2.10,0.046,30.0,96.0,0.992600,3.33,0.64,10.700000,8
69,7.40,0.240,0.29,10.10,0.050,21.0,105.0,0.996200,3.13,0.35,9.500000,5
70,6.20,0.270,0.43,7.80,0.056,48.0,244.0,0.995600,3.10,0.51,9.000000,6
71,6.80,0.300,0.23,4.60,0.061,50.5,238.5,0.995800,3.32,0.60,9.500000,5
72,6.00,0.270,0.28,4.80,0.063,31.0,201.0,0.996400,3.69,0.71,10.000000,5
73,8.60,0.230,0.46,1.00,0.054,9.0,72.0,0.994100,2.95,0.49,9.100000,6
74,6.70,0.230,0.31,2.10,0.046,30.0,96.0,0.992600,3.33,0.64,10.700000,8
75,7.40,0.240,0.29,10.10,0.050,21.0,105.0,0.996200,3.13,0.35,9.500000,5
76,7.10,0.180,0.36,1.40,0.043,31.0,87.0,0.989800,3.26,0.37,12.700000,7
77,7.00,0.320,0.34,1.30,0.042,20.0,69.0,0.991200,3.31,0.65,12.000000,7
78,7.40,0.180,0.30,8.80,0.064,26.0,103.0,0.996100,2.94,0.56,9.300000,5
